	isTF_expressed	isTF_expressionRegulons	isTF_TFBSRegulons	isTF_finalRegulons	bundle sheath-5	companion cell-6	dividing cell-12	epidermis 1-11	epidermis 2-14	epidermis/pavement 1-3	epidermis/pavement 2-4	guard cell-15	mesophyll 1-1	mesophyll 2-2	mesophyll 3-13	mesophyll 4-7	phloem 1-9	phloem 2-10	spongy mesophyll-0	xylem-8
AT1G01010	1	1	1	0	0.2	0.1	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.6	0.1	0.4	0.2	0.0
AT1G01030	1	1	1	1	10.9	7.5	14.3	18.7	1.6	2.0	1.6	5.2	2.1	7.0	2.5	26.0	2.4	2.5	4.8	3.9
AT1G01060	1	1	1	1	44.0	39.9	76.2	84.5	15.6	45.7	46.7	30.2	40.9	52.0	46.8	55.1	40.7	28.1	49.3	25.7
AT1G01250	1	1	1	0	0.0	0.0	0.0	0.0	0.8	0.3	0.2	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0
AT1G01260	1	1	1	0	0.5	1.3	2.9	2.8	0.8	1.1	1.5	6.2	0.5	2.0	4.5	3.1	2.2	0.9	1.5	0.9
AT1G01350	1	1	1	0	1.2	1.1	3.5	7.2	1.6	2.5	2.1	8.3	0.4	5.0	5.4	5.0	2.4	1.8	3.3	1.5
AT1G01380	1	1	1	0	0.0	0.0	0.0	0.4	0.8	0.2	0.1	0.0	0.0	0.0	0.3	0.1	0.1	0.4	0.0	0.0
AT1G01520	1	1	1	0	0.2	0.1	1.0	2.6	0.0	0.1	0.1	0.0	0.3	1.3	1.6	0.9	0.4	0.0	0.9	0.1
AT1G01530	0	0	0	0																
AT1G01720	1	1	1	1	6.1	2.3	6.0	13.0	2.5	5.9	5.6	12.5	2.9	10.0	17.8	15.1	5.3	4.0	12.3	2.7
AT1G01780	1	1	1	1	3.0	4.4	9.2	17.7	0.8	3.6	1.5	10.4	1.0	8.8	14.0	8.1	3.3	2.5	5.9	2.6
AT1G01920	1	1	1	1	0.5	1.5	3.2	4.3	0.0	3.3	3.2	12.5	0.4	2.1	5.7	3.8	3.0	2.2	1.7	4.3
AT1G02030	1	1	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AT1G02040	1	1	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AT1G02065	1	1	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0
AT1G02210	0	0	0	0																
AT1G02220	1	1	1	0	0.1	0.2	0.3	0.2	0.0	0.6	0.4	0.0	0.0	0.2	6.4	0.2	1.0	1.1	0.6	0.7
AT1G02230	1	1	1	0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0
AT1G02250	1	1	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AT1G02340	1	1	1	1	1.7	0.8	1.3	2.6	5.7	10.8	4.8	0.0	0.1	0.4	2.2	0.6	5.3	3.8	0.7	0.8
AT1G02580	1	1	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AT1G03040	1	1	1	1	9.4	11.4	11.7	23.2	4.1	7.0	2.7	12.5	1.4	9.1	19.7	13.8	12.2	6.2	7.6	12.0
AT1G03350	1	1	1	0	0.6	0.8	4.4	4.3	2.5	2.2	0.5	5.2	0.3	1.5	2.5	3.1	2.0	0.4	1.8	0.4
AT1G03490	0	0	0	0																
AT1G03790	0	0	0	0																
AT1G03800	1	1	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AT1G03840	1	1	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0
AT1G03970	1	1	1	1	1.7	4.6	11.1	21.3	0.8	5.7	2.4	10.4	1.3	7.8	18.5	10.9	3.3	2.5	6.0	2.6
AT1G04050	1	1	1	1	0.0	0.4	2.5	10.0	0.0	8.9	3.5	1.0	0.2	0.9	9.2	2.3	1.4	0.4	0.7	1.2
AT1G04370	0	0	0	0																
AT1G04445	0	0	0	0																
AT1G04880	1	1	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AT1G04990	1	1	1	0	0.5	1.0	1.0	3.2	0.0	2.7	1.1	7.3	0.3	0.7	6.1	1.8	0.6	0.5	0.7	0.8
AT1G05230	1	1	1	1	0.0	0.9	2.5	23.2	1.6	19.9	14.8	2.1	0.2	0.5	1.9	3.9	1.0	0.7	0.4	0.8
AT1G05710	1	1	1	1	1.8	2.9	3.8	6.6	0.8	2.1	0.8	25.0	0.1	0.6	2.2	7.6	2.7	3.3	1.2	3.5
AT1G05805	1	1	1	1	9.2	8.4	17.1	32.3	3.3	11.4	8.4	18.8	4.7	25.3	28.3	17.4	11.4	11.4	21.3	8.3
AT1G05930	0	0	0	0																
AT1G06070	1	1	1	0	0.8	1.9	1.9	5.5	0.0	2.5	0.8	4.2	0.2	2.3	4.5	2.6	1.0	1.3	1.5	0.9
AT1G06160	1	1	1	0	0.1	0.0	0.0	1.3	2.5	0.4	0.5	0.0	0.0	0.1	1.6	1.2	0.0	0.4	0.4	0.0
AT1G06170	0	0	0	0																
AT1G06180	1	1	1	0	0.3	0.1	0.3	0.4	0.0	0.0	0.5	0.0	0.3	0.8	1.3	1.4	0.0	0.2	0.6	0.5
AT1G06280	0	0	0	0																
AT1G06850	1	1	1	0	0.6	0.4	1.6	3.4	1.6	2.1	1.0	9.4	0.0	0.6	4.8	1.9	3.2	1.6	0.6	0.8
AT1G06910	1	1	1	0	0.6	0.9	4.1	4.9	0.0	0.8	0.6	1.0	0.3	2.4	2.9	3.3	1.2	0.9	1.4	0.1
AT1G07360	1	1	1	0	0.4	0.8	2.2	3.0	0.8	0.7	0.3	3.1	0.1	0.8	2.2	2.3	0.7	0.0	1.8	0.4
AT1G07520	1	1	1	0	0.2	0.4	1.0	1.3	0.0	0.4	0.0	2.1	0.1	0.5	0.0	1.8	0.3	0.0	0.1	0.3
AT1G07530	1	1	1	0	1.5	1.9	4.4	6.8	0.8	1.6	1.2	8.3	0.7	3.2	5.4	3.4	1.6	1.3	2.9	0.5
AT1G07540	0	0	0	0																
AT1G07640	1	1	1	1	0.0	18.7	1.3	0.6	0.0	0.4	0.2	1.0	0.0	0.2	0.0	0.7	0.3	4.7	0.2	0.7
